"","0.025","0.05","0.5","0.95","0.975","0.99"
"2.5%",1.9,2.4,6.4,12.7,14.2,16
"50%",3.4,3.9,8.1,16.8,19.4,22.8
"97.5%",4.7,5.2,10.1,26.9,33.1,42.3
