"","0.025","0.05","0.5","0.95","0.975","0.99"
"2.5%",1.8,2.4,6.7,12.4,13.5,14.9
"50%",3.4,4,8.4,15.1,16.7,18.7
"97.5%",4.8,5.4,10.1,20.1,22.8,26.2
